num_threads,executions,critical_load,lock_type,time
10,10,1,TAS,62µs
10,10,1,TTAS,19.75µs
10,10,10,TAS,9.292µs
10,10,10,TTAS,8.125µs
10,10,100,TAS,40.167µs
10,10,100,TTAS,40.042µs
10,10,1000,TAS,364.292µs
10,10,1000,TTAS,332.625µs
10,100,1,TAS,33.958µs
10,100,1,TTAS,42.209µs
10,100,10,TAS,61.666µs
10,100,10,TTAS,44.917µs
10,100,100,TAS,357.5µs
10,100,100,TTAS,317.917µs
10,100,1000,TAS,4.782083ms
10,100,1000,TTAS,5.640125ms
10,1000,1,TAS,2.631416ms
10,1000,1,TTAS,1.502ms
10,1000,10,TAS,2.794166ms
10,1000,10,TTAS,1.368125ms
10,1000,100,TAS,7.683292ms
10,1000,100,TTAS,4.780833ms
10,1000,1000,TAS,34.311666ms
10,1000,1000,TTAS,26.389792ms
100,10,1,TAS,122.417µs
100,10,1,TTAS,140.667µs
100,10,10,TAS,211.791µs
100,10,10,TTAS,80.333µs
100,10,100,TAS,558.333µs
100,10,100,TTAS,328.167µs
100,10,1000,TAS,4.014541ms
100,10,1000,TTAS,2.270333ms
100,100,1,TAS,3.904333ms
100,100,1,TTAS,922.084µs
100,100,10,TAS,1.819375ms
100,100,10,TTAS,1.817125ms
100,100,100,TAS,11.545959ms
100,100,100,TTAS,2.293583ms
100,100,1000,TAS,36.937ms
100,100,1000,TTAS,23.37575ms
100,1000,1,TAS,20.940333ms
100,1000,1,TTAS,13.244083ms
100,1000,10,TAS,19.270042ms
100,1000,10,TTAS,14.632ms
100,1000,100,TAS,59.65275ms
100,1000,100,TTAS,28.340875ms
100,1000,1000,TAS,392.872125ms
100,1000,1000,TTAS,263.237584ms
1000,10,1,TAS,2.118958ms
1000,10,1,TTAS,1.697334ms
1000,10,10,TAS,3.260625ms
1000,10,10,TTAS,1.822416ms
1000,10,100,TAS,5.1505ms
1000,10,100,TTAS,2.70525ms
1000,10,1000,TAS,37.524166ms
1000,10,1000,TTAS,26.396583ms
1000,100,1,TAS,24.645417ms
1000,100,1,TTAS,13.281292ms
1000,100,10,TAS,26.711ms
1000,100,10,TTAS,14.540291ms
1000,100,100,TAS,46.999458ms
1000,100,100,TTAS,23.568875ms
1000,100,1000,TAS,317.369917ms
1000,100,1000,TTAS,4.078161s
1000,1000,1,TAS,226.701ms
1000,1000,1,TTAS,138.312334ms
1000,1000,10,TAS,233.986542ms
1000,1000,10,TTAS,170.281542ms
1000,1000,100,TAS,538.52075ms
1000,1000,100,TTAS,244.511167ms
1000,1000,1000,TAS,45.890392542s
1000,1000,1000,TTAS,16.962927708s
